Date,Open,High,Low,Close,Adj Close,Volume
01-01-2021,184.949997,200.350006,184.5,196.75,196.138702,308714406
08-01-2021,198.75,252.399994,197.100006,245.100006,244.33847,878521413
15-01-2021,246,299,241.149994,290.600006,289.697113,1049041926
22-01-2021,295.950012,306.899994,259.049988,266.799988,265.971039,736099231
29-01-2021,273,341.899994,255.350006,326.149994,325.136627,901286929
05-02-2021,327.600006,339.25,312.600006,325,323.990234,460341045
12-02-2021,326.399994,337.899994,321.100006,323.850006,322.843811,310073125
19-02-2021,321.950012,334.700012,301.399994,333.149994,332.114899,386644807
26-02-2021,323,357,318.850006,339.200012,338.146118,432670588
05-03-2021,333,337.850006,309.600006,321.450012,320.451263,302010922
12-03-2021,325.049988,326.5,299.75,307,306.046143,253704033
19-03-2021,303.5,312.25,282.25,285.549988,284.662781,372610319
26-03-2021,290.5,309.850006,290.5,307.75,306.793823,228838608
02-04-2021,307.75,319.799988,297.200012,313.950012,312.974579,230744298
09-04-2021,313.200012,325,280.549988,303.5,302.557007,372942712
16-04-2021,302,315,292.200012,294.549988,293.634827,258885762
23-04-2021,291,310,290.5,301.899994,300.961975,205098075
30-04-2021,298.200012,302,285,301.25,300.314026,184521330
07-05-2021,303,334.75,300.5,326,324.987122,264908935
14-05-2021,329.350006,336.649994,306.100006,307.700012,306.743988,392071761
21-05-2021,312,323.450012,309.5,318.600006,317.610107,187828836
28-05-2021,322.649994,327.700012,312.100006,325.649994,324.638184,137864000
04-06-2021,325.149994,358.899994,324.25,344.75,343.678864,234057191
11-06-2021,346,360.75,341.100006,345.649994,344.57605,167237830
18-06-2021,345.649994,346.899994,326.200012,334.649994,333.610229,146594711
25-06-2021,335.899994,347.399994,335.899994,344.25,343.18042,108955281
02-07-2021,345.299988,358.200012,305,306.350006,305.398163,400331378
09-07-2021,305.799988,313.299988,301.850006,310.25,309.286041,152306690
16-07-2021,311.100006,315.450012,301.049988,302.549988,301.609955,95505882
23-07-2021,300.5,301.899994,283.600006,292.899994,291.98996,209943451
30-07-2021,294,306.450012,292.75,299.700012,298.768829,127818140
06-08-2021,300.049988,307.399994,286.450012,306,305.049255,102616649
13-08-2021,308.799988,311.5,292.600006,293.350006,292.438568,92815183
20-08-2021,289.5,290.700012,268.450012,284.299988,283.416656,144068348
27-08-2021,282.899994,297.399994,281.700012,293.149994,292.239166,115655659
03-09-2021,292.5,303.5,290.899994,298.950012,298.021179,96484353
10-09-2021,298.950012,315,295.5,311.649994,310.681702,92632750
17-09-2021,312,324,293.100006,321.5,320.501099,146291005
24-09-2021,325.100006,337.899994,316.049988,333.350006,332.31427,163712055
01-10-2021,332.649994,383,325.700012,376.5,375.3302,279803428
08-10-2021,385.899994,530,380,497.600006,496.053955,606062653
15-10-2021,497.600006,525,471.25,508,506.421631,237804746
22-10-2021,509.899994,510.700012,473.25,481.049988,479.555359,189422407
29-10-2021,482,510,467.700012,489.700012,488.178497,145432890
05-11-2021,489.700012,520.650024,489.700012,503.450012,501.885773,138067178
12-11-2021,506.950012,536.700012,497.350006,509.700012,508.116364,190305723
19-11-2021,509.700012,512.25,477,492.75,491.219025,103850909
26-11-2021,486,486.75,443.100006,479.100006,477.61145,179347135
03-12-2021,480,498.5,466,493.950012,492.415314,97236182
10-12-2021,487.75,506.399994,483.299988,491.950012,490.421509,84056709
17-12-2021,488,488.850006,440,472.350006,470.882416,114034312
24-12-2021,474.899994,482.799988,460,470.399994,468.938446,73093694
31-12-2021,472.700012,500.850006,471.850006,488.850006,487.331146,104374189
07-01-2022,490.049988,513.799988,483.75,511.950012,510.359375,100823016
14-01-2022,509,528.5,504.799988,515.700012,514.097717,100114733
21-01-2022,510.399994,513.849976,467.649994,494.399994,492.863892,92417572
28-01-2022,500.5,520,493,504.5,502.932526,126681734
04-02-2022,503.799988,510.5,479.149994,507.450012,505.873352,76403407
11-02-2022,503.25,511.5,467.299988,499.950012,498.396667,114435446
18-02-2022,498,502.649994,405.450012,427.950012,426.620361,140996191
25-02-2022,444.850006,465.700012,435,437.100006,435.741943,138742456
04-03-2022,431.850006,434.950012,376.350006,419.600006,418.296295,247297812
11-03-2022,413.600006,435.700012,404,433.799988,432.452179,193833367
18-03-2022,433.799988,447,421.200012,433.200012,431.854065,91288606
25-03-2022,437,442.5,426.5,433.75,432.402344,82970584
01-04-2022,434,462.700012,430.850006,449.5,448.103394,111492713
08-04-2022,450,458.899994,430.100006,431.049988,429.710724,70172235
15-04-2022,431.049988,449.350006,417,448.049988,446.657898,61731564
22-04-2022,442.049988,447.25,423.149994,436.049988,434.69519,70245277
29-04-2022,440.200012,447.75,420.700012,426.299988,424.975464,68112457
06-05-2022,418.850006,420.200012,366.200012,372.299988,371.14325,122486197
13-05-2022,387,427.350006,387,398.649994,397.411377,159213276
20-05-2022,410,431.149994,405,420.649994,419.343018,85627466
27-05-2022,426.049988,449.5,425.200012,439.149994,437.785553,82349023
03-06-2022,444.899994,445.049988,424.600006,428.5,427.16864,61717938
10-06-2022,423,428.850006,390.100006,392.950012,391.729126,86437360
17-06-2022,387.950012,409.899994,376.649994,407.200012,405.934845,95557886
24-06-2022,410,424,406.149994,411.799988,410.520508,73289973
01-07-2022,410.649994,432.950012,402.299988,430.850006,429.511353,72835854
08-07-2022,436.25,443.850006,423.299988,428.049988,426.720032,66794748
15-07-2022,430.649994,460.75,429.700012,454.850006,453.436768,76599272
22-07-2022,456.600006,459.950012,427.399994,442.25,440.875916,80870967
29-07-2022,445.149994,481,445.149994,468.899994,467.443115,115820632
05-08-2022,468.899994,485,463.350006,476.649994,475.169037,48617815
12-08-2022,475.75,494.399994,470,484.799988,483.293701,58298995
19-08-2022,486.75,488.100006,447.600006,459.200012,457.773285,72936406
26-08-2022,465,474.399994,450.149994,466.899994,465.449341,50706510
02-09-2022,470.850006,471.799988,440,442.200012,440.82608,70091212
09-09-2022,447.5,458.950012,440.600006,447.25,445.860382,54635376
16-09-2022,446,446.399994,422.549988,432.200012,430.857147,78217981
23-09-2022,431.899994,431.899994,390.350006,402.25,401.000214,107446169
30-09-2022,398,417.649994,392.5,414.100006,412.813385,66816331
07-10-2022,413.399994,414,391.100006,399,397.760315,85098243
14-10-2022,407,409.200012,392.5,398.100006,396.863098,56030188
21-10-2022,397,411.700012,394.700012,407.700012,406.433289,45745325
28-10-2022,408,425.100006,406.100006,416.25,414.956696,63163146
04-11-2022,418.200012,441.200012,409.200012,412.200012,410.919312,68058202
11-11-2022,420,438.5,414.700012,423.149994,421.835266,71816486
18-11-2022,424,429.299988,420,423.399994,422.084473,39094242
25-11-2022,425,443.600006,424,438.25,436.888367,61732588
02-12-2022,439,441.149994,415.350006,417.200012,415.903778,51345534
09-12-2022,419.299988,422.799988,408,416.700012,415.405334,41504826
16-12-2022,417.350006,427.799988,390.200012,394.450012,393.224457,99614331
23-12-2022,390,397.450012,375.200012,385.899994,384.700989,75325693
30-12-2022,391,398.350006,382.5,386.899994,385.697906,55696207
06-01-2023,386.100006,420.5,381,412.25,410.969147,112133342
13-01-2023,413,419.450012,400.100006,400.75,399.504852,60686575
20-01-2023,404,427.25,401.200012,419.049988,417.747986,90192353
27-01-2023,438,461.5,435.149994,444.799988,443.417999,141974828
03-02-2023,447,450.799988,431.549988,436.75,435.393005,44903817
10-02-2023,437.950012,448.25,431.200012,441.600006,440.227936,49225420
17-02-2023,436,445.299988,427.200012,433.200012,431.854065,42118622
24-02-2023,435.399994,436.700012,413.049988,420.450012,419.143677,41242257
03-03-2023,422.600006,442.049988,421.950012,432.200012,430.857147,32881375
10-03-2023,433,437.799988,405,415.700012,414.408417,47922121
17-03-2023,419,423.450012,405.5,419.149994,417.847687,41671187
24-03-2023,419,420.549988,400.450012,409.200012,407.928619,34344058
31-03-2023,411.350006,439.299988,411,437.649994,436.290222,37715028
07-04-2023,437.649994,473.299988,437.649994,469.5,468.04126,91243985
14-04-2023,469.5,483.350006,465.799988,476.799988,475.318573,48483039
21-04-2023,476.700012,482,467.200012,481.600006,480.103668,38264281
28-04-2023,481.399994,488,474.549988,480.799988,479.306122,35669739
05-05-2023,481.649994,514.150024,476.149994,511.600006,510.010468,72100211
12-05-2023,513.900024,537.150024,507.100006,508.450012,506.870239,100529835
19-05-2023,509.799988,531,504.75,514.849976,513.250305,60770797
26-05-2023,514.900024,536.25,512.200012,535.200012,533.537109,44930311
02-06-2023,537,576.549988,532.75,559.700012,557.960999,85080723
09-06-2023,564.400024,575,559.299988,568.450012,566.683838,54996017
16-06-2023,569.650024,585.900024,562.5,569.349976,567.580994,53467114
23-06-2023,570,576.900024,557.700012,573.099976,571.319336,25753766
30-06-2023,588.349976,604.950012,584.950012,600.799988,598.933289,53609581
07-07-2023,600,634.799988,592.200012,620.650024,618.72168,77395633
14-07-2023,623,627,607,621.650024,619.718567,43913463
21-07-2023,621,665.400024,617.700012,643.700012,641.700012,82521156
28-07-2023,646,652.900024,614.150024,618.950012,617.026917,52947717
04-08-2023,624.849976,628.299988,598,618.25,618.25,97043175
11-08-2023,619.75,624.75,594.5,613.75,613.75,50521238
18-08-2023,612.799988,626.5,609.650024,610.950012,610.950012,44649878
25-08-2023,610.849976,616.700012,593.299988,601,601,46731756
01-09-2023,604.200012,618.900024,601.900024,614.900024,614.900024,40291165
08-09-2023,617.950012,639,614.200012,624.599976,624.599976,50223289
15-09-2023,628.700012,647,624,627.049988,627.049988,51070933
22-09-2023,628,630.799988,612.25,614.099976,614.099976,31942392
29-09-2023,618.700012,633,608.299988,619.599976,619.599976,31370583
06-10-2023,627,640.200012,613.700012,636.950012,636.950012,37767660
13-10-2023,633.950012,677.799988,633,668.799988,668.799988,83823307
20-10-2023,666.650024,676.400024,624.150024,626.549988,626.549988,37442504
27-10-2023,630,643.950012,621.849976,627.700012,627.700012,43200769
